ID,MonthlyIncome
871,6192.490618
872,2469.680866
873,11990.53287
874,2614.178554
875,2579.297234
876,6045.710021
877,5735.27003
878,2120.440992
879,2862.832206
880,12771.28013
881,9494.081196
882,2438.597362
883,5958.587018
884,5757.52075
885,6136.350088
886,5911.481919
887,5567.617113
888,5865.703413
889,5405.910652
890,2649.723971
891,5663.819836
892,8667.429213
893,8680.320134
894,6029.82093
895,9616.370337
896,9149.039238
897,8514.347131
898,15979.00296
899,5962.267966
900,2603.371199
901,2499.669641
902,5941.655294
903,6291.803443
904,2553.856396
905,16355.01428
906,5747.496733
907,9156.953561
908,6265.567966
909,2554.266168
910,2502.412783
911,19101.51933
912,3049.560485
913,2521.417865
914,13176.48834
915,6076.458871
916,5010.716661
917,2737.442606
918,5658.222342
919,2477.382628
920,2986.876311
921,2428.0893
922,2395.837129
923,5274.399601
924,5533.038461
925,16572.4884
926,2799.894812
927,5917.574062
928,13077.50825
929,2292.595529
930,2742.351144
931,6367.923433
932,13054.70986
933,8749.152928
934,2372.639993
935,2066.601527
936,2244.634656
937,8834.354971
938,9427.678074
939,5649.977318
940,2547.075433
941,2872.660577
942,9129.64465
943,9742.380134
944,6093.059742
945,2311.245886
946,5679.11836
947,2262.764315
948,2571.921559
949,2633.139927
950,5711.866301
951,2746.966975
952,5673.466101
953,5470.181507
954,2665.46022
955,5256.025393
956,8185.659327
957,10409.66346
958,2701.696649
959,9241.122731
960,19856.20542
961,2581.016945
962,5654.056938
963,5741.212271
964,5656.186323
965,2661.781665
966,19506.32764
967,2328.443131
968,8710.248015
969,16791.57738
970,2571.400118
971,5866.128609
972,5775.991861
973,2491.829088
974,2531.240072
975,6061.390556
976,2504.674883
977,6030.262449
978,2397.703252
979,9295.237955
980,18959.18348
981,2691.791644
982,9049.329801
983,2719.788925
984,2702.988934
985,5935.465663
986,2622.382304
987,2608.56794
988,5770.946822
989,9441.650682
990,2413.440517
991,6031.478497
992,2555.919556
993,5957.854449
994,5906.159942
995,5571.3495
996,5903.828329
997,2698.162854
998,16791.56252
999,8888.157757
1000,1962.41489
1001,6020.144451
1002,5527.940559
1003,5739.20726
1004,6789.355755
1005,3010.141915
1006,5929.198201
1007,2626.158235
1008,5587.069308
1009,19193.85275
1010,5993.829132
1011,9183.841034
1012,5785.879445
1013,6209.949778
1014,5284.730405
1015,5601.692179
1016,2483.924172
1017,2655.013451
1018,8741.315918
1019,9132.885231
1020,2248.495092
1021,5945.542054
1022,5900.82391
1023,5421.892876
1024,9619.506354
1025,16094.84675
1026,18535.01181
1027,5452.846062
1028,5798.75398
1029,5727.160766
1030,9362.896847
1031,5657.363607
1032,2799.390325
1033,12621.87511
1034,2395.789851
1035,5421.504181
1036,2611.480879
1037,5665.513554
1038,8598.029214
1039,12938.70059
1040,5589.494103
1041,2144.858352
1042,2842.595826
1043,8727.101945
1044,6511.140739
1045,2664.947712
1046,2359.948676
1047,6169.066853
1048,12890.18811
1049,2588.505282
1050,5759.888911
1051,10089.03258
1052,2452.240555
1053,5856.865501
1054,2754.939468
1055,2670.275121
1056,2488.660514
1057,5996.674682
1058,16059.71989
1059,6295.437351
1060,2914.576449
1061,5736.501591
1062,6154.624589
1063,6213.524581
1064,2368.894309
1065,5750.588531
1066,2377.428789
1067,3504.338435
1068,19384.08723
1069,5622.365493
1070,2405.109841
1071,2716.951503
1072,6306.244984
1073,2319.213983
1074,5538.984046
1075,5944.38141
1076,16813.54348
1077,19230.0248
1078,5166.758804
1079,5680.123701
1080,5769.6069
1081,3000.765612
1082,2461.457668
1083,2341.367463
1084,6304.784526
1085,8653.3191
1086,9154.134856
1087,5869.442573
1088,2550.669348
1089,2659.4877
1090,5624.870756
1091,5602.573546
1092,6138.488755
1093,12755.69368
1094,5590.777206
1095,5564.310407
1096,6128.959253
1097,3302.236515
1098,2659.422061
1099,2710.643137
1100,6054.156867
1101,18993.26818
1102,5928.383026
1103,6431.135101
1104,9851.444019
1105,2575.822684
1106,2662.690732
1107,2953.57018
1108,5812.664449
1109,5862.459581
1110,5654.2505
1111,5816.032929
1112,13056.84676
1113,13158.67319
1114,6283.80603
1115,9372.677873
1116,2910.154715
1117,6728.506002
1118,5792.994468
1119,9315.814523
1120,2472.189382
1121,8916.903167
1122,16527.66501
1123,5884.947962
1124,16385.5938
1125,2554.943679
1126,2356.195808
1127,2661.537265
1128,5537.765151
1129,15941.45067
1130,2191.142028
1131,13023.05911
1132,16059.94467
1133,5764.951639
1134,2267.739239
1135,2734.694622
1136,2351.257434
1137,3019.526835
1138,6113.70135
1139,8963.190456
1140,15953.56146
1141,5920.659344
1142,5998.562113
1143,9558.559745
1144,5717.354224
1145,5851.449423
1146,5632.755383
1147,5213.752406
1148,2363.243411
1149,2671.446867
1150,5825.25569
1151,2561.95751
1152,5896.082091
1153,6021.018687
1154,2429.474757
1155,6364.554425
1156,11673.95842
1157,2474.366961
1158,5783.343585
1159,2419.881199
1160,5898.687263
1161,2745.524442
1162,8825.624145
1163,2589.779362
1164,9137.489586
1165,2819.409495
1166,2051.357788
1167,8981.579863
1168,5900.371169
1169,2671.663654
1170,2516.694499
